Date(UTC) ;  RelHumidity.1Min [%] ;  Temp.Dry.1Min [degC]
2023-04-11 08:00:00 ; 62.0 ; 27.2
2023-04-11 08:01:00 ; 62.0 ; 26.7
2023-04-11 08:02:00 ; 64.0 ; 27.3
2023-04-11 08:03:00 ; 66.0 ; 27.4
2023-04-11 08:04:00 ; 60.0 ; 27.5
2023-04-11 08:05:00 ; 60.0 ; 27.6
2023-04-11 08:06:00 ; 59.0 ; 27.7
2023-04-11 08:07:00 ; 58.0 ; 27.8
2023-04-11 08:08:00 ; 57.0 ; 27.8
2023-04-11 08:09:00 ; 56.0 ; 27.9
2023-04-11 08:10:00 ; 57.0 ; 28.1
2023-04-11 08:11:00 ; 54.0 ; 28.2
2023-04-11 08:12:00 ; 53.0 ; 28.3
2023-04-11 08:13:00 ; 52.0 ; 28.3
2023-04-11 08:14:00 ; 52.0 ; 28.4
2023-04-11 08:15:00 ; 47.0 ; 28.6
2023-04-11 08:16:00 ; 45.0 ; 28.7
2023-04-11 08:17:00 ; 45.0 ; 28.8
2023-04-11 08:18:00 ; 45.0 ; 28.3
2023-04-11 08:19:00 ; 41.0 ; 29.0
2023-04-11 08:20:00 ; 39.0 ; 28.9
2023-04-11 08:21:00 ; 40.0 ; 29.0
2023-04-11 08:22:00 ; 37.0 ; 29.1
2023-04-11 08:23:00 ; 34.0 ; 29.1
2023-04-11 08:24:00 ; 36.0 ; 29.2
2023-04-11 08:25:00 ; 35.0 ; 29.4
2023-04-11 08:26:00 ; 34.0 ; 29.7
2023-04-11 08:27:00 ; 33.0 ; 29.9
2023-04-11 08:28:00 ; 33.0 ; 30.1
2023-04-11 08:29:00 ; 33.0 ; 30.0
2023-04-11 08:30:00 ; 31.0 ; 30.3
2023-04-11 08:31:00 ; 31.0 ; 30.3
2023-04-11 08:32:00 ; 32.0 ; 30.4
2023-04-11 08:33:00 ; 32.0 ; 30.5
2023-04-11 08:34:00 ; 33.0 ; 30.4
2023-04-11 08:35:00 ; 33.0 ; 30.1
2023-04-11 08:36:00 ; 35.0 ; 30.1
2023-04-11 08:37:00 ; 34.0 ; 29.9
2023-04-11 08:38:00 ; 34.0 ; 30.1
2023-04-11 08:39:00 ; 34.0 ; 30.4
2023-04-11 08:40:00 ; 35.0 ; 30.5
2023-04-11 08:41:00 ; 35.0 ; 30.3
2023-04-11 08:42:00 ; 34.0 ; 30.3
2023-04-11 08:43:00 ; 35.0 ; 30.2
2023-04-11 08:44:00 ; 33.0 ; 30.6
2023-04-11 08:45:00 ; 34.0 ; 30.6
2023-04-11 08:46:00 ; 34.0 ; 30.6
2023-04-11 08:47:00 ; 34.0 ; 30.6
2023-04-11 08:48:00 ; 32.0 ; 30.6
2023-04-11 08:49:00 ; 33.0 ; 30.5
2023-04-11 08:50:00 ; 31.0 ; 30.6
